work_id,size_id,sale_price,regular_price
160228,24,85,85
160228,30,95,95
160236,24,85,85
160236,30,95,95
160244,24,85,85
160244,30,95,95
160252,24,85,85
160252,30,95,95
160260,24,75,75
160260,30,95,95
160268,24,85,85
160268,30,95,95
125752,30,95,95
125752,24,85,85
125752,3024,305,535
125752,3226,325,575
125752,3629,375,675
125752,4030,405,735
125752,4836,495,915
125752,6048,675,1275
125752,6854,805,1535
125818,30,95,95
125818,24,85,85
125818,3624,335,595
125818,4630,425,775
125818,5436,535,995
125818,6040,605,1135
125818,7248,765,1455
23448,20,75,75
23448,24,85,85
23448,30,95,95
23448,3024,305,535
23448,3226,325,575
23448,3629,375,675
23448,4030,405,735
23448,4836,495,915
23448,6048,675,1275
23448,6854,805,1535
125763,30,95,95
125763,24,85,85
125763,3024,305,535
125763,3226,325,575
125763,3629,375,675
125763,4030,405,735
125763,4836,495,915
125763,6048,675,1275
125763,6854,805,1535
125774,30,95,95
125774,24,85,85
125774,3024,305,535
125774,3226,325,575
125774,3629,375,675
125774,4030,405,735
125774,4836,495,915
125774,6048,675,1275
125774,6854,805,1535
125785,30,95,95
125785,24,85,85
125785,3024,305,535
125785,3226,325,575
125785,3629,375,675
125785,4030,405,735
125785,4836,495,915
125785,6048,675,1275
125785,6854,805,1535
125796,3629,395,675
125796,4030,425,735
125796,4836,515,915
125796,6048,695,1275
125796,6854,825,1535
125807,3024,305,535
125807,3226,325,575
125807,3629,375,675
125807,4030,405,735
125807,4836,495,915
125807,6048,675,1275
125807,6854,805,1535
24532,3624,315,565
24532,4630,405,745
24532,5436,515,965
24532,6040,585,1105
24532,7248,745,1425
124470,30,95,95
124470,24,85,85
124470,20,75,75
124470,3624,315,565
124470,4630,405,745
124470,5436,515,965
124470,6040,585,1105
124470,7248,745,1425
124479,3624,315,565
124479,4630,405,745
124479,5436,515,965
124479,6040,585,1105
124479,7248,745,1425
124488,3624,315,565
124488,4630,405,745
124488,5436,515,965
124488,6040,585,1105
124488,7248,745,1425
124497,3624,315,565
124497,4630,405,745
124497,5436,515,965
124497,6040,585,1105
124497,7248,745,1425
124506,3624,315,565
124506,4630,405,745
124506,5436,515,965
124506,6040,585,1105
124506,7248,745,1425
124515,30,95,95
124515,24,85,85
124515,3624,315,565
124515,4630,405,745
124515,5436,515,965
124515,6040,585,1105
124515,7248,745,1425
124524,30,95,95
124524,24,85,85
124524,3624,315,565
124524,4630,405,745
124524,5436,515,965
124524,6040,585,1105
124524,7248,745,1425
124533,30,95,95
124533,24,85,85
124533,3624,315,565
124533,4630,405,745
124533,5436,515,965
124533,6040,585,1105
124533,7248,745,1425
124542,3624,315,565
124542,4630,405,745
124542,5436,515,965
124542,6040,585,1105
124542,7248,745,1425
124551,3624,315,565
124551,4630,405,745
124551,5436,515,965
124551,6040,585,1105
124551,7248,745,1425
124560,3624,315,565
124560,4630,405,745
124560,5436,515,965
124560,6040,585,1105
124560,7248,745,1425
124569,3624,315,565
124569,4630,405,745
124569,5436,515,965
124569,6040,585,1105
124569,7248,745,1425
124578,3624,315,565
124578,4630,405,745
124578,5436,515,965
124578,6040,585,1105
124578,7248,745,1425
124587,3624,315,565
124587,4630,405,745
124587,5436,515,965
124587,6040,585,1105
124587,7248,745,1425
135881,30,95,95
135881,24,85,85
135881,2430,305,545
135881,2632,325,585
135881,2936,375,685
135881,3040,405,745
135881,3648,495,925
135881,4860,675,1285
135892,2430,305,545
135892,2632,325,585
135892,2936,375,685
135892,3040,405,745
135892,3648,495,925
135892,4860,675,1285
135892,5468,805,1545
135903,2430,305,545
135903,2632,325,585
135903,2936,375,685
135903,3040,405,745
135903,3648,495,925
135903,4860,675,1285
135903,5468,805,1545
135914,2430,305,545
135914,2632,325,585
135914,2936,375,685
135914,3040,405,745
135914,3648,495,925
135914,4860,675,1285
135914,5468,805,1545
135925,2430,305,545
135925,2632,325,585
135925,2936,375,685
135925,3040,405,745
135925,3648,495,925
135925,4860,675,1285
135925,5468,805,1545
135936,2430,305,545
135936,2632,325,585
135936,2936,375,685
135936,3040,405,745
135936,3648,495,925
135936,4860,675,1285
135936,5468,805,1545
135947,30,95,95
135947,24,85,85
135947,2430,305,545
135947,2632,325,585
135947,2936,375,685
135947,3040,405,745
135947,3648,495,925
135947,4860,675,1285
135947,5468,805,1545
135958,2430,305,545
135958,2632,325,585
135958,2936,375,685
135958,3040,405,745
135958,3648,495,925
135958,4860,675,1285
135958,5468,805,1545
31780,36,10,125
31780,30,10,95
31780,2436,345,605
31780,3046,435,785
31780,3654,545,1005
31780,4060,615,1145
31780,4872,775,1465
135969,2430,305,545
135969,2632,325,585
135969,2936,375,685
135969,3040,405,745
135969,3648,495,925
135969,4860,675,1285
135969,5468,805,1545
31778,2430,305,545
31778,2632,325,585
31778,2936,375,685
31778,3040,405,745
31778,3648,495,925
31778,4860,675,1285
31778,5468,805,1545
135980,2430,305,545
135980,2632,325,585
135980,2936,375,685
135980,3040,405,745
135980,3648,495,925
135980,4860,675,1285
135980,5468,805,1545
147731,1620,235,355
147731,2024,265,415
147731,2430,305,495
147731,2632,325,535
147731,2936,375,635
147731,3040,405,695
147731,3648,495,875
147731,4860,675,1235
147731,5468,805,1495
147742,1620,215,355
147742,2024,245,415
